model,loop,scale,dloc,concurrence
BHZ,CT,0.52,0.09356583599758289,0.09346337984691917
BHZ,CT,0.53,0.09536382700444797,0.09525535095707958
BHZ,CT,0.54,0.09716174076661847,0.09704700622011424
BHZ,CT,0.55,0.09895957582778425,0.09883835763236459
BHZ,CT,0.56,0.100757330731699,0.10062938583254316
BHZ,CT,0.5700000000000001,0.1025550040221814,0.10242008543064564
BHZ,CT,0.58,0.10435259424311606,0.1042104483160698
BHZ,CT,0.59,0.10615009993845519,0.10600048156382
BHZ,CT,0.6,0.10794751965221909,0.10779017041000753
BHZ,CT,0.61,0.10974485192849802,0.10957950742334276
BHZ,CT,0.62,0.11154209531145287,0.11136848507435972
BHZ,CT,0.63,0.11333924834531667,0.11315711054118865
BHZ,CT,0.64,0.11513630957439544,0.11494536297176781
BHZ,CT,0.65,0.11693327754306977,0.1167332418736476
BHZ,CT,0.66,0.11873015079579573,0.1185207403718334
BHZ,CT,0.67,0.12052692787710595,0.12030786840170271
BHZ,CT,0.68,0.12232360733161128,0.1220945920761706
BHZ,CT,0.6900000000000001,0.12412018770400132,0.12388093187021702
BHZ,CT,0.7000000000000001,0.12591666753904607,0.12566686103685729
BHZ,CT,0.71,0.12771304538159706,0.12745238722975805
BHZ,CT,0.72,0.12950931977658817,0.12923750334371037
BHZ,CT,0.73,0.13130548926903737,0.13102219558825187
BHZ,CT,0.74,0.1331015524040475,0.13280647153809105
BHZ,CT,0.75,0.13489750772680748,0.13459030412670553
BHZ,CT,0.76,0.1366933537825935,0.1363737062816975
BHZ,CT,0.77,0.13848908911677044,0.13815667419563735
BHZ,CT,0.78,0.14028471227479278,0.1399391855973433
BHZ,CT,0.79,0.14208022180220586,0.14172125038440012
BHZ,CT,0.8,0.1438756162446471,0.14350284468479044
BHZ,CT,0.81,0.14567089414784695,0.14528397994869777
BHZ,CT,0.8200000000000001,0.14746605405763055,0.147064647811781
BHZ,CT,0.8300000000000001,0.14926109451991845,0.14884483956375416
BHZ,CT,0.84,0.1510560140807279,0.15062454404703582
BHZ,CT,0.85,0.1528508112861743,0.15240376615266965
BHZ,CT,0.86,0.15464548468247177,0.15418249072153248
BHZ,CT,0.87,0.15644003281593521,0.15596071362367137
BHZ,CT,0.88,0.1582344542329806,0.1577384331348035
BHZ,CT,0.89,0.16002874748012666,0.15951564294020049
BHZ,CT,0.9,0.16182291110399608,0.16129233697150985
BHZ,CT,0.91,0.1636169436513163,0.16306850399989611
BHZ,CT,0.92,0.16541084366892117,0.1648441524027591
BHZ,CT,0.93,0.16720460970375167,0.1666192542486682
BHZ,CT,0.9400000000000001,0.16899824030285748,0.16839381890079708
BHZ,CT,0.9500000000000001,0.17079173401339792,0.17016783848976894
BHZ,CT,0.96,0.17258508938264297,0.17194131961404294
BHZ,CT,0.97,0.17437830495797516,0.17371423179448797
BHZ,CT,0.98,0.17617137928689,0.1754865779895311
BHZ,CT,0.99,0.17796431091699705,0.1772583605709422
BHZ,CT,1.0,0.17975709839602208,0.17902957271160763
BHZ,CB,0.0,0.0,1.4196960477961724e-20
BHZ,CB,0.01,0.0017999997570000102,0.0017999876343553073
BHZ,CB,0.02,0.003599998056000316,0.0035999865070252468
BHZ,CB,0.03,0.005399993439002391,0.005399968932613643
BHZ,CB,0.04,0.00719998444801008,0.00719993070426914
BHZ,CB,0.05,0.008999969625030755,0.008999871160339052
BHZ,CB,0.06,0.010799947512076528,0.010799788927762184
BHZ,CB,0.07,0.012599916651165404,0.012599665320707897
BHZ,CB,0.08,0.014399875584322486,0.014399496280290861
BHZ,CB,0.09,0.01619982285358113,0.01619928635500829
