model,theta1_over_pi,theta2_over_pi,N_loc
SSH,0.04938271604938271,1.950617283950617,0.039534485205902165
SSH,0.04938271604938271,1.9753086419753085,0.03958588105635623
SSH,0.07407407407407407,0.0,0.0398463174248274
SSH,0.07407407407407407,0.024691358024691357,0.03995402529465113
SSH,0.07407407407407407,0.04938271604938271,0.040097760247035666
SSH,0.07407407407407407,0.07407407407407407,0.04028133582425926
SSH,0.07407407407407407,0.09876543209876543,0.0405064016617096
SSH,0.07407407407407407,0.12345679012345678,0.04077177506433148
SSH,0.07407407407407407,0.14814814814814814,0.041073063900538984
SSH,0.07407407407407407,0.1728395061728395,0.0414026376086578
SSH,0.07407407407407407,0.19753086419753085,0.04174994832228149
SSH,0.07407407407407407,0.2222222222222222,0.042102152686266575
SSH,0.07407407407407407,0.24691358024691357,0.042444949478973794
SSH,0.07407407407407407,0.2716049382716049,0.04276353391767594
SSH,0.07407407407407407,0.2962962962962963,0.043043573910622926
SSH,0.07407407407407407,0.32098765432098764,0.043272129367524365
SSH,0.07407407407407407,0.345679012345679,0.04343845543174338
SSH,0.07407407407407407,0.37037037037037035,0.04353464886942745
SSH,0.07407407407407407,0.3950617283950617,0.04355611147615927
SSH,0.07407407407407407,0.41975308641975306,0.04350181506660879
SSH,0.07407407407407407,0.4444444444444444,0.043374360356571016
SSH,0.07407407407407407,0.4691358024691358,0.04317982812881653
SSH,0.07407407407407407,0.49382716049382713,0.04292742679478749
SSH,0.07407407407407407,0.5185185185185185,0.0426289471047399
SSH,0.07407407407407407,0.5432098765432098,0.042298043636364746
SSH,0.07407407407407407,0.5679012345679012,0.041949375028377825
SSH,0.07407407407407407,0.5925925925925926,0.041597651312010916
SSH,0.07407407407407407,0.6172839506172839,0.04125665613456324
SSH,0.07407407407407407,0.6419753086419753,0.04093833056511645
SSH,0.07407407407407407,0.6666666666666666,0.04065201705448045
SSH,0.07407407407407407,0.691358024691358,0.040403959142120416
SSH,0.07407407407407407,0.7160493827160493,0.04019712894839929
SSH,0.07407407407407407,0.7407407407407407,0.04003141092614319
SSH,0.07407407407407407,0.7654320987654321,0.03990411557037514
SSH,0.07407407407407407,0.7901234567901234,0.0398107452907695
SSH,0.07407407407407407,0.8148148148148148,0.03974590030147919
SSH,0.07407407407407407,0.8395061728395061,0.039704202129507545
SSH,0.07407407407407407,0.8641975308641975,0.0396811239980301
SSH,0.07407407407407407,0.8888888888888888,0.039673642326509835
SSH,0.07407407407407407,0.9135802469135802,0.0396806521850131
SSH,0.07407407407407407,0.9382716049382716,0.039703115259223765
SSH,0.07407407407407407,0.9629629629629629,0.03974393013209106
SSH,0.07407407407407407,0.9876543209876543,0.03980753384771753
SSH,0.07407407407407407,1.0123456790123457,0.03989926471499311
SSH,0.07407407407407407,1.037037037037037,0.04002454170062532
SSH,0.07407407407407407,1.0617283950617282,0.04018794427579038
SSH,0.07407407407407407,1.0864197530864197,0.04039230204525218
SSH,0.07407407407407407,1.1111111111111112,0.04063791630113236
SSH,0.07407407407407407,1.1358024691358024,0.04092202699640661
SSH,0.07407407407407407,1.1604938271604937,0.04123860579181016
SSH,0.07407407407407407,1.1851851851851851,0.041578505142809655
SSH,0.07407407407407407,1.2098765432098766,0.04192993841158567
SSH,0.07407407407407407,1.2345679012345678,0.04227922136195398
SSH,0.07407407407407407,1.259259259259259,0.04261168041865979
SSH,0.07407407407407407,1.2839506172839505,0.042912628842679115
SSH,0.07407407407407407,1.308641975308642,0.04316832308435272
SSH,0.07407407407407407,1.3333333333333333,0.04336683020565952
SSH,0.07407407407407407,1.3580246913580245,0.04349875679223828
SSH,0.07407407407407407,1.382716049382716,0.04355780640841868
SSH,0.07407407407407407,1.4074074074074074,0.043541145243844406
SSH,0.07407407407407407,1.4320987654320987,0.043449564674547
SSH,0.07407407407407407,1.45679012345679,0.0432874362121713
SSH,0.07407407407407407,1.4814814814814814,0.04306246005951757
SSH,0.07407407407407407,1.5061728395061729,0.04278521451041344
SSH,0.07407407407407407,1.5308641975308641,0.04246852102473091
SSH,0.07407407407407407,1.5555555555555554,0.042126650282746786
SSH,0.07407407407407407,1.5802469135802468,0.04177440887862106
SSH,0.07407407407407407,1.6049382716049383,0.04142616448788758
SSH,0.07407407407407407,1.6296296296296295,0.041094887145670445
SSH,0.07407407407407407,1.6543209876543208,0.04079130061360354
SSH,0.07407407407407407,1.6790123456790123,0.040523243216626106
SSH,0.07407407407407407,1.7037037037037037,0.040295324683482764
SSH,0.07407407407407407,1.728395061728395,0.040108931394884056
SSH,0.07407407407407407,1.7530864197530862,0.039962581716768
SSH,0.07407407407407407,1.7777777777777777,0.0398525780267849
SSH,0.07407407407407407,1.8024691358024691,0.039773857702480306
SSH,0.07407407407407407,1.8271604938271604,0.03972092273988531
SSH,0.07407407407407407,1.8518518518518516,0.03968872914069016
SSH,0.07407407407407407,1.876543209876543,0.039673436782371105
SSH,0.07407407407407407,1.9012345679012346,0.0396729483544663
SSH,0.07407407407407407,1.9259259259259258,0.03968719360719396
SSH,0.07407407407407407,1.950617283950617,0.039718138551017204
SSH,0.07407407407407407,1.9753086419753085,0.039769518995127685
SSH,0.09876543209876543,0.0,0.04007142796289811
SSH,0.09876543209876543,0.024691358024691357,0.04017912092403905
SSH,0.09876543209876543,0.04938271604938271,0.040322840912719926
SSH,0.09876543209876543,0.07407407407407407,0.04050640166170681
SSH,0.09876543209876543,0.09876543209876543,0.040731452997185405
SSH,0.09876543209876543,0.12345679012345678,0.04099681240385279
SSH,0.09876543209876543,0.14814814814814814,0.04129808790847566
SSH,0.09876543209876543,0.1728395061728395,0.04162764907884342
SSH,0.09876543209876543,0.19753086419753085,0.041974948145800356
SSH,0.09876543209876543,0.2222222222222222,0.04232714181990065
SSH,0.09876543209876543,0.24691358024691357,0.04266992891745296
SSH,0.09876543209876543,0.2716049382716049,0.042988504671803186
SSH,0.09876543209876543,0.2962962962962963,0.04326853699150121
SSH,0.09876543209876543,0.32098765432098764,0.04349708577649062
SSH,0.09876543209876543,0.345679012345679,0.043663406154946634
SSH,0.09876543209876543,0.37037037037037035,0.043759594875797544
SSH,0.09876543209876543,0.3950617283950617,0.043781053717767256
SSH,0.09876543209876543,0.41975308641975306,0.04372675448033409
SSH,0.09876543209876543,0.4444444444444444,0.04359929786660231
SSH,0.09876543209876543,0.4691358024691358,0.04340476464923794
SSH,0.09876543209876543,0.49382716049382713,0.043152363232013505
SSH,0.09876543209876543,0.5185185185185185,0.04285388435911737
SSH,0.09876543209876543,0.5432098765432098,0.04252298260262413
SSH,0.09876543209876543,0.5679012345679012,0.04217431659447146
SSH,0.09876543209876543,0.5925925925925926,0.04182259635579872
SSH,0.09876543209876543,0.6172839506172839,0.04148160551831502
SSH,0.09876543209876543,0.6419753086419753,0.04116328512809196
SSH,0.09876543209876543,0.6666666666666666,0.04087697760412613
SSH,0.09876543209876543,0.691358024691358,0.040628926445233526
SSH,0.09876543209876543,0.7160493827160493,0.040422103723532075
SSH,0.09876543209876543,0.7407407407407407,0.04025639383853677
SSH,0.09876543209876543,0.7654320987654321,0.040129107229973565
SSH,0.09876543209876543,0.7901234567901234,0.04003574625326842
SSH,0.09876543209876543,0.8148148148148148,0.03997091107143695
SSH,0.09876543209876543,0.8395061728395061,0.039929223164055366
SSH,0.09876543209876543,0.8641975308641975,0.03990615570958823
