model,orientation,center_theta1_over_pi,center_theta2_over_pi,radius_over_pi,n_points,D_loc_strict,D_loc_swap,ep_exact,arg_det,max_abs_phase,eigphase_1,eigphase_2,eigphase_3,eigphase_4,schmidt_1,schmidt_2,schmidt_3,schmidt_4
BBH,+,1.0,1.0,0.275,121,0.027370546566651516,0.027370546566651516,0.0001664307176426997,1.1102230246251568e-16,0.17370479228774205,-0.17370479228774205,-0.14913083730218069,0.14913083730218282,0.17370479228774016,1.9998127132951589,0.02145644979084323,0.016991152739259253,0.00018230197918752398
BBH,+,1.0,1.0,0.28,121,0.027068327472279285,0.027068327472279285,0.00016277634545877912,-2.9698465908722945e-15,0.1769818199700777,-0.1769818199700777,-0.15545555810988868,0.15545555810988884,0.17698181997007367,1.9998168264119653,0.020266655436399876,0.017941304797813747,0.00018182177368151543
BBH,+,1.0,1.0,0.285,121,0.026721385855202295,0.026721385855202295,0.00015863139864825805,-2.8310687127941496e-15,0.18085083363168986,-0.1808508336316872,-0.16139360129359923,0.16139360129359384,0.18085083363168986,1.999821491884492,0.01890060815542763,0.01888744935396092,0.0001785080722181819
BBH,+,1.0,1.0,0.29,121,0.026361547790305338,0.026361547790305338,0.00015438903995665694,-1.554312234475219e-15,0.18565559874563062,-0.18565559874563062,-0.1666639023591135,0.16666390235911563,0.18565559874562693,1.9998262671995273,0.01986399141961844,0.01732897100987517,0.00017212621771032127
BBH,+,1.0,1.0,0.295,121,0.02603153463284091,0.02603153463284091,0.0001505490817407128,4.1633363423443375e-16,0.1915996207145249,-0.19159962071452263,-0.17113621652664734,0.17113621652664518,0.1915996207145249,1.9998305898011637,0.020825799995455255,0.015616392123495826,0.000162625704732375
BBH,+,1.0,1.0,0.3,121,0.025785141777449148,0.025785141777449148,0.00014771395982273973,-5.6343818499726694e-15,0.1986075826497828,-0.1986075826497828,-0.17496884069624571,0.17496884069624816,0.19860758264977518,1.9998337816158829,0.02177967730925218,0.013801049707746454,0.00015030369620282124
BBH,+,1.0,1.0,0.305,121,0.025685525654632415,0.025685525654632415,0.0001465759320893076,-4.218847493575596e-15,0.2064565567444201,-0.2064565567444201,-0.17847591308540925,0.17847591308540614,0.20645655674441848,1.9998350634429602,0.022718450103549264,0.011982175114519246,0.00013611944927299766
BBH,+,1.0,1.0,0.31,121,0.025800834198004163,0.025800834198004163,0.00014789547242245583,-1.1102230246251565e-15,0.21494866495440995,-0.21494866495440995,-0.18195258633655312,0.1819525863365542,0.21494866495440823,1.9998335792386743,0.023634051984277402,0.01034755922921971,0.00012228755196020367
BBH,+,1.0,1.0,0.315,121,0.026197049209706818,0.026197049209706818,0.00015247231605572704,4.080069615497451e-15,0.22395602184459656,-0.22395602184459273,-0.18562728111074892,0.1856272811107488,0.22395602184459656,1.9998284286531758,0.024517527447511605,0.009226808902699273,0.00011311897424739647
BBH,+,1.0,1.0,0.32,121,0.026929210190358387,0.026929210190358387,0.0001611121875810559,-1.665334536937735e-15,0.2334035904494213,-0.23340359044941805,-0.18967552394736012,0.1896755239473554,0.2334035904494213,1.9998187044096332,0.02535916082659004,0.009058104766479402,0.00011486337989174054
BBH,+,1.0,1.0,0.325,121,0.02803357396774323,0.02803357396774323,0.00017459351949848193,-3.885780586188048e-16,0.24324780726960704,-0.24324780726960468,-0.19423775648052533,0.19423775648052294,0.24324780726960704,1.999803529682651,0.02614876684674088,0.010102831804381058,0.0001321012736630309
BBH,+,1.0,1.0,0.33,121,0.029523545429031336,0.029523545429031336,0.00019363897510821853,-3.58046925441613e-15,0.2534628490839589,-0.2534628490839589,-0.19942958098143387,0.19942958098143404,0.2534628490839555,1.9997820900663246,0.026876158210554987,0.012216276615330576,0.0001641811798827449
BBH,+,1.0,1.0,0.335,121,0.031390733817319647,0.031390733817319647,0.0002188959362708292,-3.774758283725532e-15,0.2640329379823349,-0.2640329379823349,-0.20534642425808963,0.20534642425808747,0.26403293798233335,1.9997536554576023,0.027531770458261266,0.015075676438028904,0.00020755559669346263
BBH,+,1.0,1.0,0.34,121,0.03361015854078121,0.03361015854078121,0.00025092822099193057,-2.275957200481571e-15,0.27494815626579405,-0.2749481562657924,-0.21206547690681513,0.21206547690681116,0.27494815626579405,1.9997175893107204,0.028107380790181172,0.01842474097153465,0.00025897217347889125
BBH,+,1.0,1.0,0.345,121,0.03614715570084334,0.03614715570084334,0.00029021856767346636,-3.136380044566067e-15,0.28620219376490463,-0.28620219376490463,-0.2196466607902833,0.21964666079028128,0.286202193764903,1.9996733457836884,0.028596818045400273,0.02210502723703442,0.00031611835159009975
BBH,+,1.0,1.0,0.35,121,0.03896365891530906,0.03896365891530906,0.0003371787328275329,3.58046925441613e-15,0.29779117751420997,-0.2977911775142048,-0.2281334227500943,0.22813342275009202,0.29779117751420997,1.9996204583209798,0.02899654174481187,0.026020777365241797,0.00037732788438272867
BBH,+,1.0,1.0,0.4,121,0.07607483043816501,0.07607483043816501,0.0012835281605180584,-5.6066262743570405e-15,0.43251981191090627,-0.43251981191090333,-0.3611225743528595,0.3611225743528511,0.43251981191090627,1.998553155043445,0.07027656667742076,0.029076541396164775,0.0010224394057360853
BBH,+,1.0,1.0,0.45,121,0.1177776437558651,0.1177776437558651,0.003068673083676692,4.385380947269369e-15,0.5947426904493667,-0.5947426904493667,-0.524509865819679,0.5245098658196835,0.5947426904493666,1.996532106657825,0.11441857410175083,0.02766628127257612,0.0015855174296219021
BBH,+,1.0,1.0,0.5,121,0.15600647139387816,0.15600647139387816,0.005366385888550725,7.2164496600635185e-16,0.7387619985088004,-0.7387619985088004,-0.6346263729677046,0.6346263729677101,0.7387619985087953,1.9939154952208056,0.15331036963581732,0.02814684319352919,0.00216418546544426
BBH,+,1.0,1.0,0.515,121,0.16643080033368357,0.16643080033368357,0.006101038300215182,1.3877787807814457e-15,0.7825494861284397,-0.7825494861284373,-0.6459052926641908,0.6459052926641884,0.7825494861284397,1.9930751971750729,0.163796526220804,0.028573451686438045,0.002348246636658932
BBH,+,1.0,1.0,0.52,121,0.16980443504343945,0.16980443504343945,0.006348613252009292,-4.0523140398818206e-15,0.797361131914101,-0.797361131914101,-0.6473722221688792,0.6473722221688782,0.7973611319140983,1.9927916134598975,0.16718141860807975,0.02874272349139506,0.0024113154910403735
BBH,+,1.0,1.0,0.525,121,0.1731316114723214,0.1731316114723214,0.006597463564499565,6.272760089132135e-15,0.8122033026013937,-0.8122033026013918,-0.6477953151418993,0.6477953151419041,0.8122033026013937,1.9925063612772533,0.1705153965967614,0.028927004138707933,0.002475525137047472
