s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight
0.3833333333333333,0.2623559927903122,0.0006036008166765737,1.8389880446314013,1.5591760969117652,0.9999568780005742,0.6035122016069238
0.39166666666666666,0.26242401615832417,0.0005871041484928032,1.8389878944041849,1.5602998292160841,0.9999569235450548,0.6035121242008852
0.4,0.2624918938511267,0.0005709495704645699,1.8389877517750723,1.5613022349881815,0.9999569625622233,0.6035120507098484
0.4083333333333333,0.2625593757543909,0.0005552848303723293,1.8389876171349864,1.5615288068723965,0.9999569950721138,0.6035119813352388
0.4166666666666667,0.2626261673866206,0.0005403070380017133,1.8389874908529475,1.561528659071307,0.9999570211240006,0.603511916267198
0.425,0.2626919196668631,0.0005262135103584758,1.8389873732750714,1.561528520572199,0.9999570407799789,0.6035118556840653
0.43333333333333335,0.262756216544751,0.0005131725921810277,1.8389872647236207,1.5615283917294185,0.9999570541008534,0.6035117997518861
0.44166666666666665,0.26281856050916164,0.0005013302948130752,1.8389871654961105,1.5615282728579056,0.9999570611348934,0.6035117486239593
0.45,0.2628783565190202,0.0004908132419673816,1.8389870758645,1.5615281642327101,0.9999570619099286,0.6035117024404151
0.4583333333333333,0.2629348959298974,0.000481726356509013,1.8389869960744565,1.5615280660888287,0.9999570564290686,0.6035116613278324
0.4666666666666667,0.2629873437784167,0.00047414863196791217,1.8389869263446625,1.5615279786212297,0.999957044670239,0.6035116253988914
0.475,0.2630347354947453,0.00046812848254975894,1.8389868668662355,1.5615279019851365,0.9999570265895265,0.6035115947520656
0.48333333333333334,0.2630759924237853,0.0004636789367072383,1.8389868178021938,1.5615278362965306,0.9999570021282251,0.6035115694713512
0.49166666666666664,0.26310996794493113,0.0004607706017602495,1.838986779287008,1.5615277816328594,0.9999569712232911,0.6035115496260364
0.5,0.26313553414792396,0.0004593152391562037,1.8389867514262437,1.5615277380339423,0.9999569338208038,0.6035115352705134
0.5083333333333333,0.2631517085860078,0.00045917201691848646,1.8389867342962578,1.5605566865431817,0.9999568898918795,0.6035115264441256
0.5166666666666666,0.2631578004608052,0.0004602345047710786,1.8389867279440018,1.559461547445094,0.9999568394503533,0.6035115231710653
0.525,0.2631535342160354,0.0004623941907634819,1.8389867323868851,1.5582540712232364,0.9999567825714596,0.6035115254603034
0.5333333333333333,0.26313910374562627,0.0004655025677673554,1.8389867476127317,1.556947242212872,0.9999567194106206,0.6035115333055653
0.5416666666666666,0.26311513395623193,0.00046938882091975215,1.8389867735798109,1.555555146923113,0.9999566502214238,0.6035115466853487
0.55,0.2630825663386844,0.0004738719574544054,1.8389868102169498,1.5540928297647127,0.9999565753717882,0.6035115655629826
0.5583333333333333,0.26304251325745576,0.0004787678892648104,1.838986857423737,1.5525761373304778,0.9999564953573682,0.6035115898867285
0.5666666666666667,0.26299612557613683,0.0004838944467369182,1.8389869150707878,1.551021552534693,0.9999564108112371,0.6035116195899205
0.575,0.26294449839162115,0.0004890751097551076,1.838986983000105,1.5494460200804774,0.9999563225090186,0.6035116545911483
0.5833333333333334,0.26288861830118687,0.0004941417226883167,1.8389870610255061,1.5478667648864741,0.9999562313687622,0.6035116947944817
0.5916666666666667,0.26282934335402397,0.000498936366567926,1.8389871489331455,1.5463011052624902,0.9999561384450012,0.6035117400897332
0.6,0.2627674037883775,0.0005033125473362842,1.8389872464820827,1.5447662627732823,0.9999560449167096,0.6035117903527581
0.6083333333333333,0.2627034136122007,0.0005071358501611286,1.8389873534049541,1.5432791708649252,0.9999559520691191,0.6035118454457951
0.6166666666666667,0.26263788639251967,0.0005102841941873731,1.8389874694087103,1.5418562844437043,0.999955861269629,0.6035119052178475
0.625,0.262571251479709,0.0005126478013438165,1.8389875941754035,1.5405133926873469,0.9999557739383735,0.6035119695050912
0.6333333333333333,0.2625038688390245,0.0005141289705397299,1.8389877273630706,1.5392654374269776,0.9999556915143066,0.6035120381313275
0.6416666666666666,0.2624360418072932,0.0005146417275671564,1.8389878686066758,1.5381263394599651,0.9999556154179307,0.6035121109084669
0.65,0.26236802769161727,0.000514111402883298,1.838988017519092,1.5371088351344744,0.9999555470120616,0.6035121876370408
0.6583333333333333,0.2623000463998826,0.000512474174697244,1.8389881736921745,1.5362243254822812,0.99995548756219,0.60351226810675
0.6666666666666666,0.26223228738916143,0.0005096766034535838,1.838988336697883,1.5354827400650142,0.9999554381981064,0.6035123520970409
