theta_L,theta_R,gap,joint,deltaA,deltaB,edge_weight,nloc
0.0,5.740193984336906,0.26075762923329787,0.0001506834202180169,1.838993796368798,1.5615342159847954,0.6035151652494275,0.03928543848467565
0.0,5.817764173314432,0.2607226989282453,0.00018605981890467205,1.8389939722388435,1.5615344314522965,0.6035152558684109,0.03925328563087961
0.0,5.895334362291957,0.2606920857237671,0.00022531580081140004,1.838994128227609,1.5615346325482231,0.6035153362433519,0.03923803638735357
0.0,5.972904551269483,0.2606658300117564,0.0002665582005491751,1.8389942633969203,1.5615348179246236,0.6035154058908405,0.03923759311091454
0.0,6.050474740247009,0.2606439661185437,0.00030871932586257835,1.8389943769338073,1.5615349862693475,0.603515464391987,0.03925188518858139
0.0,6.128044929224535,0.26062652241323897,0.00035113020161072557,1.8389944681554127,1.5615351363186614,0.6035155113949378,0.039282878226626905
0.0,6.2056151182020605,0.26061352139304655,0.00039331420945650517,1.8389945365130913,1.5615352668708948,0.6035155466169959,0.039334307580019434
0.07757018897752575,0.0,0.2606009084091738,0.00047529978523502754,1.8389946031321158,1.5600518270169608,0.6035155809431938,0.03951891206423848
0.07757018897752575,0.07757018897752575,0.26059251110360815,0.0005156814258373013,1.8389946476497139,1.5600519436510396,0.603515603881386,0.03962665206491637
0.07757018897752575,0.1551403779550515,0.2605886386101455,0.0005546585112144389,1.8389946682238425,1.5583083729398821,0.603515614482436,0.03977041875938679
0.07757018897752575,0.23271056693257725,0.26058929571239875,0.0005920409179620856,1.8389946647307547,1.5563458372277041,0.6035156126825832,0.039954025294656845
0.07757018897752575,0.310280755910103,0.26059448159900545,0.000627684987792694,1.838994637191461,1.554210742963767,0.6035155984926535,0.04017912092404265
0.07757018897752575,0.3878509448876288,0.2606041898617261,0.0006614145123805304,1.8389945857715944,1.5519537738820743,0.6035155719979921,0.040444522606320615
0.07757018897752575,0.4654211338651545,0.26061840848030093,0.0006930578511055479,1.8389945107804215,1.549628731525797,0.6035155333579496,0.040745837919082914
0.07757018897752575,0.5429913228426803,0.2606371197936217,0.0007224558402477033,1.8389944126689675,1.547291283385422,0.603515482804927,0.041075436077534874
0.07757018897752575,0.620561511820206,0.26066030045634103,0.0007494631870982392,1.838994292027319,1.5449976445979563,0.6035154206429731,0.041422769063350406
0.07757018897752575,0.6981317007977318,0.26068792137956476,0.0007739488354462603,1.838994149581069,1.5428032227128,0.6035153472459587,0.04177499343619837
0.07757018897752575,0.7757018897752576,0.2607199476537602,0.0007957962566615475,1.8389939861869449,1.5407612581605001,0.6035152630553259,0.04211780794494914
0.07757018897752575,0.8532720787527833,0.2607563384513375,0.00081490385100412,1.8389938028276718,1.5389214954825898,0.6035151685774337,0.04243640781968798
0.07757018897752575,0.930842267730309,0.26079704690559447,0.0008311854869529386,1.8389936006060394,1.5373289218047317,0.6035150643805114,0.04271646100986426
0.07757018897752575,1.0084124567078347,0.26084201996171863,0.0008445711708728431,1.8389933807382843,1.5360226091941884,0.6035149510912412,0.04294502748261477
0.07757018897752575,1.0859826456853605,0.2608911981942974,0.0008550078318340452,1.8389931445467664,1.5350346962258161,0.6035148293909858,0.04311136244543083
0.07757018897752575,1.1635528346628863,0.2609445155841799,0.0008624602057685866,1.838992893452032,1.534389541165492,0.6035147000116972,0.04320756272862693
0.07757018897752575,1.241123023640412,0.2610018992454384,0.0008669118041568011,1.838992628964236,1.5341030746606208,0.6035145637315034,0.043229030187440134
0.07757018897752575,1.3186932126179378,0.26106326909043875,0.0008683659538222445,1.838992352674088,1.5341823738295481,0.6035144213700367,0.04317473668920083
0.07757018897752575,1.3962634015954636,0.2611285374173837,0.0008668468959980104,1.8389920662432708,1.5346254724230037,0.6035142737834995,0.04304728299424374
0.07757018897752575,1.4738335905729893,0.26119760839981193,0.0008624009346250885,1.8389917713944537,1.5354214136660573,0.6035141218595157,0.04285274992155454
0.07757018897752575,1.5514037795505151,0.26127037745093407,0.000855097625853151,1.8389914699009196,1.5365505439358298,0.6035139665117917,0.04260034591134243
0.07757018897752575,1.6289739685280409,0.2613467304266742,0.0008450310027633652,1.8389911635759113,1.537985037085902,0.6035138086746199,0.042301861736834534
0.07757018897752575,1.7065441575055667,0.2614265426188851,0.0008323208309505558,1.8389908542617275,1.5396896314791455,0.603513649297263,0.041970951995532205
0.07757018897752575,1.7841143464830924,0.2615096774728599,0.0008171138908191906,1.8389905438186191,1.5416225550628393,0.6035134893382388,0.041622275346566796
0.07757018897752575,1.861684535460618,0.26159598493896147,0.0007995852792940893,1.838990234113632,1.5437366084406918,0.6035133297595593,0.0412705418466147
0.07757018897752575,1.9392547244381437,0.26168529933350804,0.0007799397132112728,1.8389899270093633,1.545980372066662,0.6035131715209475,0.04092953517833674
0.07757018897752575,2.0168249134156695,0.2617774365342635,0.0007584127900736008,1.838989624352757,1.5482995014730219,0.6035130155740598,0.04061119646060983
0.07757018897752575,2.0943951023931953,0.2618721902634274,0.0007352720964492209,1.8389893279640015,1.5506380737906866,0.603512862856765,0.04032486821142222
0.07757018897752575,2.171965291370721,0.2619693271045784,0.0007108178775654126,1.8389890396255852,1.5529399495585339,0.6035127142875074,0.04007679405548496
0.07757018897752575,2.249535480348247,0.26206857974198783,0.0006853824027916361,1.8389887610715756,1.5551501157110277,0.6035125707597793,0.03986994621414505
0.07757018897752575,2.3271056693257726,0.2621696376742063,0.0006593247286755169,1.8389884939771823,1.5572159783994084,0.60351243313675,0.03970420925230671
0.07757018897752575,2.4046758583032983,0.2622721342976507,0.0006330068838105737,1.8389882399486988,1.5590885776512393,0.603512302246074,0.03957689378189752
0.07757018897752575,2.482246047280824,0.2623756287194342,0.0006067665686406177,1.8389880005138344,1.5600457413233388,0.6035121788749165,0.03948350232841438
0.07757018897752575,2.55981623625835,0.26247957985752635,0.0005811366373993893,1.8389877771125231,1.560045481529663,0.603512063765216,0.039418635216525076
0.07757018897752575,2.6373864252358756,0.2625833092219415,0.0005567665982422144,1.8389875710882786,1.5600452399324813,0.6035119576092276,0.0393769140772738
0.07757018897752575,2.7149566142134014,0.2626859471874785,0.0005341914581582435,1.8389873836800996,1.5600450179417829,0.6035118610453554,0.03935381223343813
0.07757018897752575,2.792526803190927,0.26278635576159604,0.0005138843401022549,1.8389872160150316,1.5600448167867795,0.6035117746543177,0.039346306204746294
0.07757018897752575,2.870096992168453,0.26288301989039253,0.0004962634086689839,1.8389870691013823,1.5600446375110608,0.6035116989556538,0.039353291169397925
0.07757018897752575,2.9476671811459787,0.26297390280760086,0.00048166732379027304,1.8389869438226651,1.5600444809703147,0.6035116344045992,0.039375728937063224
0.07757018897752575,3.0252373701235045,0.26305627832987366,0.00047032296659031887,1.8389868409322845,1.5600443478325094,0.6035115813893506,0.03941651823795327
0.07757018897752575,3.1028075591010302,0.2631266036410811,0.00046231376426634157,1.838986761048997,1.5600442385804647,0.6035115402287287,0.039480096291518496
0.07757018897752575,3.180377748078556,0.26318059925972026,0.0004575430917263766,1.838986704653208,1.5600441535165674,0.6035115111702636,0.03957180161096112
0.07757018897752575,3.2579479370560818,0.2632138114360703,0.0004556274247139779,1.838986672084069,1.5592024018187658,0.6035114943887059,0.03969705339150517
0.07757018897752575,3.3355181260336075,0.26322280927128994,0.00045613334906618997,1.8389866635374434,1.5573438796767487,0.6035114899849758,0.03986043134651006
0.07757018897752575,3.4130883150111333,0.26320655276560045,0.00045871651084148057,1.8389866790647287,1.5552890416987388,0.6035114979855566,0.04006476532110163
0.07757018897752575,3.490658503988659,0.26316688466812155,0.00046285402228373075,1.8389867185725444,1.5530865700830598,0.6035115183423339,0.04031035682789648
0.07757018897752575,3.568228692966185,0.2631076834979562,0.0004679659932025304,1.8389867818233048,1.5507888572484378,0.603511550932888,0.040594446003341264
0.07757018897752575,3.6457988819437106,0.2630334490904914,0.00047347123974235633,1.8389868684366308,1.548450797204025,0.6035115955612266,0.04091100464199832
0.07757018897752575,3.723369070921236,0.2629482781314691,0.00047881617701091517,1.838986977891645,1.546128497049122,0.6035116519589661,0.04125088527743952
0.07757018897752575,3.8009392598987617,0.26285547106227286,0.0004834925499547699,1.8389871095301107,1.5438779363633186,0.603511719786943,0.04160230129589367
0.07757018897752575,3.8785094488762875,0.2627575371302577,0.00048704728400207446,1.8389872625603783,1.5417536056258447,0.6035117986372545,0.0419515684388858
0.07757018897752575,3.9560796378538132,0.26265634492361056,0.0004890867455585879,1.8389874360621474,1.5398071576156167,0.6035118880357101,0.0422840130743956
0.07757018897752575,4.033649826831339,0.2625532867995694,0.0004892773509715084,1.8389876289920093,1.5380861077022043,0.6035119874446867,0.04258494838563674
0.07757018897752575,4.111220015808865,0.2624494132428604,0.0004873440250467543,1.8389878401897186,1.5366326197604434,0.6035120962663537,0.04284063073717367
0.07757018897752575,4.1887902047863905,0.26234553166806707,0.000483067568445201,1.8389880683851496,1.5354824138844807,0.6035122138462751,0.04303912710865408
0.07757018897752575,4.266360393763916,0.2622422760185498,0.00047628163160185887,1.8389883122059654,1.534663829970095,0.6035123394773407,0.04317104401627227
0.07757018897752575,4.343930582741442,0.26214015506301397,0.00046686973885116283,1.8389885701858506,1.5341970775103526,0.6035124724040192,0.04323008497511066
