theta_T,theta_B,gap,joint,deltaA,deltaB,edge_weight_2row,nloc
1.225987377010651,3.524713708905622,0.4419081944551645,0.010224429589675694,1.7893978789610452,1.8192804636023123,0.9515156850067346,0.029822673146546397
1.225987377010651,3.6779621310319532,0.44424377200674303,0.010464101798813753,1.787118996887238,1.8192689230216963,0.9513860213835958,0.030211165754101776
1.225987377010651,3.8312105531582845,0.4468011420736971,0.010706710332568271,1.785036120112199,1.8192570745197114,0.9512371682451206,0.030638510808547476
1.225987377010651,3.984458975284616,0.44941138283823195,0.010932341560897375,1.7832038493761413,1.8192460400547474,0.9510832007418255,0.031064857840974958
1.225987377010651,4.1377073974109475,0.4519009460925957,0.011123923623668824,1.7816674546707736,1.819236891772531,0.9509381778172211,0.03145157960453761
1.225987377010651,4.290955819537279,0.45411110429974755,0.011267885550956468,1.7804623944449172,1.819230557656656,0.9508148612561691,0.0317645501930447
1.225987377010651,4.44420424166361,0.4547657459325813,0.011354245442984435,1.7796146260422185,1.8180266492635972,0.9507237477056858,0.03197674489166309
1.225987377010651,4.597452663789942,0.45404769577797083,0.011376422711465547,1.779141335071976,1.8164770153135628,0.9506724192318824,0.0320700952157528
1.225987377010651,4.750701085916273,0.4531350171304656,0.01133100793028525,1.7790517111374058,1.8161653806586475,0.9506651598855584,0.03203662837555816
1.225987377010651,4.903949508042604,0.4519508347083782,0.011217646245275612,1.779347474786701,1.817118319748229,0.95070276983549,0.031878952966845106
1.225987377010651,5.057197930168936,0.4504143340790778,0.011039120052250023,1.7800229818842765,1.8192564299378275,0.9507825275756381,0.03161013029378687
1.225987377010651,5.210446352295267,0.4484875178113594,0.010801653863756158,1.7810648718472217,1.8192721627092248,0.9508982902529236,0.03125291980443225
1.225987377010651,5.363694774421599,0.446220742574823,0.010515396898473087,1.782451369809373,1.8192897822435634,0.9510407658768021,0.030838341112838653
1.225987377010651,5.516943196547929,0.44374698304135796,0.010194950418519682,1.7841514862309844,1.8193081297545817,0.951198022290054,0.03040348575917774
1.225987377010651,5.670191618674261,0.4412426078537807,0.009859684507012934,1.7861244602674633,1.8193259305769065,0.9513563002873471,0.029988561636692248
1.225987377010651,5.823440040800593,0.4388919270307438,0.009533441103626628,1.7883198340679458,1.819341897564409,0.9515011602000334,0.029633267642274988
1.225987377010651,5.976688462926924,0.43686255154757353,0.009243110276418828,1.79067848914132,1.8193548530854842,0.9516189113689213,0.029372761107296468
1.225987377010651,6.129936885053255,0.4352874161528799,0.00901565315986151,1.7931348038722064,1.8193638555746714,0.9516981691140987,0.029233663828217824
1.3792357991369824,0.0,0.43518924097566164,0.009177699145932522,1.7948654574712544,1.8172219250556059,0.9516468010002226,0.02938703731513744
1.3792357991369824,0.15324842212633139,0.4346658617589034,0.009097810615865303,1.7923986289054192,1.8172222593687009,0.951631595834338,0.02951940341533764
1.3792357991369824,0.30649684425266277,0.43468205123874093,0.009110309174488598,1.7899599747410715,1.817218374623955,0.9515699164616184,0.02977537389817808
1.3792357991369824,0.45974526637899416,0.43515301943500817,0.009204600808661104,1.787617748000251,1.8172108764139319,0.95146884750199,0.030129100843029263
1.3792357991369824,0.6129936885053255,0.43594941573459245,0.009360644142718639,1.7854371001189535,1.8172006856894165,0.951339320887312,0.03054531078251453
1.3792357991369824,0.7662421106316569,0.4369164336703705,0.009553322643164167,1.7834769438219855,1.8171889207627152,0.9511947057755177,0.030983474268794033
1.3792357991369824,0.9194905327579883,0.43790114522217616,0.009756885823905338,1.7817877661229014,1.8171767678355126,0.9510492486887344,0.031402180707255714
1.3792357991369824,1.0727389548843198,0.4387816484793966,0.009948265877337773,1.780410516795959,1.8171653600832833,0.950916618105939,0.03176309841153399
1.3792357991369824,1.225987377010651,0.4394841002984363,0.010108947590618459,1.7793764382747665,1.8171556786185898,0.9508087192343417,0.03203416386783352
1.3792357991369824,1.3792357991369824,0.43997818221398277,0.01022567426546071,1.778707528740476,1.8171484807687932,0.9507348401133819,0.03219189346669675
1.3792357991369824,1.5324842212633139,0.44025838620298496,0.010278946261738718,1.778417266726207,1.8161988224235777,0.9507011078704373,0.032222870741287934
1.3792357991369824,1.6857326433896453,0.44032617082179915,0.010292735711835508,1.7785112588319671,1.816515152016095,0.9507101927935593,0.032124519159772665
1.3792357991369824,1.8389810655159766,0.4401809552314193,0.01025745094009809,1.7789875701853926,1.8171452084986108,0.9507611980232527,0.03190524644705843
1.3792357991369824,1.992229487642308,0.43982137911701635,0.010168212888517623,1.779836629201153,1.817149902751424,0.9508497024524185,0.031583976045335256
1.3792357991369824,2.1454779097686396,0.4392577126806895,0.010044075061113008,1.7810407418915495,1.8171566361075917,0.9509679673324373,0.031189002521601505
1.3792357991369824,2.298726331894971,0.438533294907105,0.009900918159623155,1.7825733904056356,1.817164550931597,0.9511053554264739,0.030756059335757556
1.3792357991369824,2.451974754021302,0.4377418404349514,0.009758482857416522,1.7843986077226783,1.817172642424533,0.9512490280877495,0.030325508213977045
1.3792357991369824,2.6052231761476334,0.43702300255707877,0.009638878135983986,1.786470789554373,1.81717984754187,0.9513849659142519,0.02993868066845149
1.3792357991369824,2.7584715982739647,0.43653578839654966,0.00956402966510044,1.7887352933477172,1.8171851529013359,0.9514992962470903,0.02963362722825822
1.3792357991369824,2.9117200204002964,0.4364265406972815,0.009552246381481071,1.7911300577038372,1.8171877115810826,0.9515798148263291,0.029440803954208644
1.3792357991369824,3.0649684425266277,0.4368044760268134,0.009614674018116554,1.7935882568398633,1.8171869523493915,0.9516174885122235,0.029379423568623893
1.3792357991369824,3.218216864652959,0.4377272243614833,0.00974002291824984,1.7936434258467058,1.8171826616876745,0.9516076646804505,0.029455176113883194
1.3792357991369824,3.3714652867792907,0.43919465424961185,0.009918662737089357,1.7911641117068362,1.8171750213818723,0.9515507298677746,0.029659736903441293
1.3792357991369824,3.524713708905622,0.44114948363872225,0.010147518093740765,1.788750240113794,1.8171645927680642,0.9514520658166419,0.02997205502336785
1.3792357991369824,3.6779621310319532,0.4434838212924096,0.010405444657335571,1.7864694361854074,1.8171522504381676,0.9513213138224699,0.030361060134298748
1.3792357991369824,3.8312105531582845,0.446050846580766,0.010670005176694863,1.7843841941676872,1.8171390790522217,0.9511711169474817,0.030789251794629616
1.3792357991369824,3.984458975284616,0.44868058104717856,0.010920164742654882,1.7825492243907803,1.8171262529896914,0.9510156051224872,0.03121661978725627
1.3792357991369824,4.1377073974109475,0.45119847065244306,0.011137924059559278,1.7810099036290201,1.8171149183941375,0.9508688939839083,0.0316044195708898
1.3792357991369824,4.290955819537279,0.4534454695968937,0.011309013528146701,1.7798017855371129,1.8171060919980893,0.9507437994044272,0.03191845408406302
1.3792357991369824,4.44420424166361,0.4552985774917135,0.011422962512592597,1.778950907356672,1.8171005838666736,0.9506508670394858,0.03213166458872957
1.3792357991369824,4.597452663789942,0.4556939763274,0.011472866689844569,1.7784745198986702,1.8164720258362375,0.9505977223233462,0.03222597261337032
1.3792357991369824,4.750701085916273,0.4547936668893988,0.011455103552811569,1.7783818669055393,1.8161577033888423,0.9505886879041929,0.032193406936929146
1.3792357991369824,4.903949508042604,0.453572466402365,0.011369158404422675,1.7786747172355344,1.8171080095087444,0.9506245994657372,0.03203657865821838
1.3792357991369824,5.057197930168936,0.4519508347083784,0.011217646245275586,1.7793474747867006,1.8171183197482257,0.9507027698354898,0.03176854320824461
1.3792357991369824,5.210446352295267,0.4499181813732121,0.011006548946085756,1.7803868314793765,1.8171317260247632,0.9508170908715157,0.03141203713981
1.3792357991369824,5.363694774421599,0.4475519937096964,0.010745620076503565,1.7817710723041102,1.8171473291345106,0.9509583063904445,0.03099803284334585
1.3792357991369824,5.516943196547929,0.44499407150410597,0.010448826540839834,1.7834692749495529,1.8171640216799398,0.951114520598142,0.030563547334205035
1.3792357991369824,5.670191618674261,0.4424181954238884,0.010134586840297258,1.7854407495376652,1.8171805642132426,0.9512720091571243,0.03014869332680261
1.3792357991369824,5.823440040800593,0.4400037929132939,0.009825441030192172,1.7876351054441375,1.817195686507103,0.9514163622698484,0.029793075504922835
1.3792357991369824,5.976688462926924,0.43791472847245977,0.009546705693714758,1.7899932771996148,1.8172082082472834,0.9515339097218394,0.029531794847959373
1.3792357991369824,6.129936885053255,0.43628181051908893,0.00932376058153153,1.7924496707139,1.8172171657685277,0.9516132735111292,0.029391496330175647
1.5324842212633139,0.0,0.4360440948874605,0.009421584884777448,1.7945587897972182,1.8162606972721573,0.9516029847681969,0.029419999498108362
1.5324842212633139,0.15324842212633139,0.43546927252536494,0.00933122833364229,1.792093141328675,1.8162618040012373,0.951588310472248,0.0295504285203246
1.5324842212633139,0.30649684425266277,0.4354309765109272,0.009326562417341982,1.7896560720465287,1.8162589571056478,0.9515274211661147,0.029804536926398575
1.5324842212633139,0.45974526637899416,0.43584513562577537,0.009398809816591686,1.7873157129032684,1.8162526882439805,0.9514273515598688,0.03015675906266177
1.5324842212633139,0.6129936885053255,0.4365828160260898,0.009530083001624588,1.7851370911227729,1.8162438493782878,0.9512989790420108,0.0305720306475782
