s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight_2row
0.575,0.4317739589886751,0.007568889799536521,1.7962945974349043,1.8384950456925977,0.9999472076968758,0.9522086730740416
0.5833333333333334,0.4328416826406322,0.007840278944819761,1.7947607801067273,1.8372235081338562,0.9999472753791502,0.9521137572295135
0.5916666666666667,0.43398711104897914,0.008118688417256208,1.7932704990251795,1.835877129238492,0.9999473816995617,0.952013355568545
0.6,0.43520058648790616,0.008400401127079906,1.7918285348739416,1.8344713697288388,0.9999475210488039,0.9519086366367898
0.6083333333333333,0.43647188302688633,0.008682089622777563,1.7904394439159756,1.833022205928622,0.9999476877575993,0.9518008031120984
0.6166666666666667,0.4377903002177715,0.008960783175612627,1.7891075405913721,1.8315459306673567,0.999947876193328,0.9516910763225315
0.625,0.43914476438076255,0.009233831495950463,1.787836883948628,1.8300589581581521,0.999948080845615,0.9515806812886775
0.6333333333333333,0.4405239373490011,0.00949886936048585,1.7866312677992435,1.828577635553072,0.9999482963998043,0.951470832505766
0.6416666666666666,0.4419163323617995,0.009753784430340829,1.785494214384933,1.8271180634280344,0.9999485177978199,0.9513627206358195
0.65,0.4433104365276619,0.009996689244738614,1.7844289712618333,1.8256959269835358,0.9999487402865356,0.9512575002344333
0.6583333333333333,0.4446948389023884,0.010225897594026114,1.7834385110385211,1.824326339289542,0.9999489594542389,0.95115627859273
0.6666666666666666,0.4460583627504987,0.010439905042837287,1.7825255335551167,1.823023697471251,0.9999491712561825,0.9510601057344212
0.675,0.4473902000050595,0.010637373163186414,1.7816924700588244,1.8218015523411273,0.9999493720305102,0.9509699655719792
0.6833333333333333,0.4486800453596517,0.01081711696054287,1.7809414889160116,1.820672491642866,0.9999495585060431,0.9508867681955944
0.6916666666666667,0.4499182268849046,0.010978094975794153,1.7802745024006692,1.8196480367910808,0.9999497278034949,0.950811343244414
0.7,0.4510958296444954,0.011119401586145668,1.7796931741121984,1.8187385527706665,0.9999498774317401,0.9507444342917901
0.7083333333333334,0.45220480857714873,0.01124026108646623,1.7791989265997994,1.8179531707018375,0.9999500052806922,0.9506866941647286
0.7166666666666667,0.4532380869830923,0.011340023196711827,1.7787929488041296,1.8172997224790117,0.9999501096122579,0.9506386811121951
0.725,0.45418963734376994,0.01141815970392179,1.77847620296768,1.8167846868499922,0.9999501890506737,0.9506008557367982
0.7333333333333333,0.4550545419046563,0.01147426200560721,1.7782494307117813,1.8164131463105024,0.9999502425733638,0.9505735786092329
0.7416666666666667,0.45582903140354225,0.011508039373894859,1.7781131580285523,1.8161887542416502,0.9999502695032555,0.9505571084937322
0.75,0.4565105014273305,0.011519317806667593,1.7780676989895707,1.8161137118067563,0.9999502695032562,0.950551601125196
0.7583333333333333,0.45582903140354286,0.011508039373894878,1.7781131580285512,1.8161887542416484,0.9999502425733635,0.9505571084937321
0.7666666666666666,0.45505454190465755,0.011474262005607114,1.7782494307117842,1.8164131463105053,0.9999501890506736,0.950573578609234
0.775,0.4541896373437695,0.011418159703921816,1.7784762029676797,1.8167846868499904,0.9999501096122577,0.9506008557367975
0.7833333333333333,0.45323808698309204,0.011340023196711716,1.77879294880413,1.8172997224790102,0.9999500052806921,0.9506386811121947
0.7916666666666666,0.4522048085771481,0.011240261086466351,1.779198926599798,1.8179531707018373,0.9999498774317396,0.9506866941647286
