kx,vartheta,gap,joint,deltaA,deltaB,edge_weight_2row,nloc_theta
0.07,4.017118475082031,0.4277796680285878,0.009781524886875129,1.782616216236366,1.8245988448082524,0.9504607542299657,0.06094411371108914
0.07,4.120121512904646,0.4295265794902709,0.010220158620467695,1.7803010127443923,1.8215172731522231,0.9501724744620552,0.06203622615981672
0.07,4.223124550727262,0.4313163226746393,0.010607989939227642,1.7783129871447572,1.818701974431631,0.9499128525203542,0.06300871226541373
0.07,4.326127588549879,0.43307714621743576,0.010934808904502168,1.7766750437114829,1.8162657858934028,0.9496906638404843,0.06382268060859114
0.07,4.429130626372495,0.43474543917187886,0.011192463996669334,1.775405439093363,1.8143053136903835,0.949513341504894,0.0644460666625582
0.07,4.532133664195111,0.4362690291930401,0.01137476192354633,1.7745179100812003,1.8128975526129616,0.9493867576138371,0.06485460901594399
0.07,4.635136702017728,0.43760961775912705,0.01147742455101222,1.7740218318084602,1.8120973619684762,0.9493150680931405,0.06503254482509625
0.07,4.738139739840343,0.4382034592175594,0.011498075891756063,1.7739223596477296,1.8119357608134574,0.9493006125351402,0.06497304238268037
0.07,4.841142777662959,0.4369640062498631,0.011436240690399363,1.7742205198697816,1.8124189989622783,0.9493438614282952,0.06467838397867672
0.07,4.944145815485576,0.43552806212077,0.011293344630845607,1.774913228806612,1.8135283728866711,0.9494434058638563,0.06415990511925522
0.07,5.047148853308192,0.43392642145069377,0.011072714202813872,1.7759932363969586,1.8152207797444588,0.9495959886795075,0.06343768805388793
0.07,5.150151891130808,0.43220455788763856,0.010779582149882713,1.7774490064096997,1.8174300292355101,0.9497965801023294,0.06253999977996406
0.07,5.253154928953424,0.43042072940333664,0.010421112654464833,1.779264561205077,1.820068952483867,0.9500385043662385,0.06150245859998926
0.07,5.35615796677604,0.42864306929674806,0.010006469081997895,1.7814193323273533,1.8230323509980997,0.9503136256217452,0.06036691037822487
0.07,5.4591610045986565,0.4269459941195631,0.009546955145355104,1.7838880679753308,1.8262008098635978,0.9506126009630493,0.05917999767097405
0.07,5.562164042421273,0.425406315950327,0.009056264072379848,1.7866408526974427,1.8294453534731034,0.9509252050434738,0.05799141422941959
0.07,5.665167080243889,0.424099400244442,0.008550860533017297,1.7896432917822125,1.832632849579145,0.9512407244148314,0.05685185697155572
0.07,5.7681701180665055,0.4230956090273374,0.008050476963945412,1.7928569015835563,1.8356319744391967,0.951548410870782,0.05581072040601484
0.07,5.871173155889121,0.42245716564674546,0.0075785942084060694,1.7962397274077322,1.838319451053396,0.9518379728494757,0.05491362588300607
0.07,5.974176193711737,0.4222355032557279,0.0071625530766280705,1.7997471842456183,1.8405861823309637,0.9521000741531246,0.05419993608630118
0.07,6.077179231534354,0.4224691202310513,0.006832618047492002,1.8033330860542844,1.8423428424907542,0.9523268020444944,0.053700461551426985
0.07,6.18018226935697,0.4231819517275545,0.0066191109580899755,1.8069508014092541,1.8435244819496353,0.9525120642432849,0.05343559970581379
0.08,0.0,0.42363874223648545,0.0066472157791302635,1.8103578241580398,1.8439623704272452,0.9526457640579304,0.05346414555194646
0.08,0.10300303782261616,0.42551436916175794,0.006599778568490312,1.8073138639411002,1.8439483527925107,0.9527549981613184,0.05367984306535235
0.08,0.20600607564523232,0.42783811262473337,0.006694545159520283,1.8042866293654134,1.8433361273389082,0.9528173901567748,0.054120539573639964
0.08,0.3090091134678485,0.4305675420709853,0.006912061524121346,1.801314565935902,1.8421741921409673,0.9528355275047939,0.05476086460043205
0.08,0.41201215129046465,0.43364540015281744,0.0072252419402362485,1.7984351141214936,1.8405343705641828,0.9528138448903207,0.055567139438116815
0.08,0.5150151891130808,0.43700114412752106,0.00760469176689252,1.795683793011994,1.8385072052103097,0.9527582590218887,0.05649957088553013
0.08,0.618018226935697,0.4405529934302732,0.0080225329616182,1.79309344722492,1.836196689990133,0.9526757503615552,0.057514527387722024
0.08,0.7210212647583132,0.444210485284188,0.008454281538339551,1.7906936964910118,1.8337147695046396,0.9525739299773808,0.058566720717831304
0.08,0.8240243025809293,0.44787753812990955,0.008879324694683052,1.7885106006313645,1.8311759831930847,0.9524606245238519,0.0596111814665313
0.08,0.9270273404035454,0.4514559977930602,0.009280694806576603,1.7865665280329892,1.828692545203035,0.9523435038871071,0.06060497309018657
0.08,1.0300303782261615,0.4548495798420419,0.009644612417539012,1.7848801965381247,1.8263700497830946,0.9522297662988196,0.06150862926159113
0.08,1.1330334160487778,0.45796802112283286,0.00996003017701688,1.7834668434774377,1.824303894205069,0.9521258864973099,0.06228732337073492
0.08,1.236036453871394,0.4607311358062908,0.010218260657623088,1.7823384764007377,1.8225764297637876,0.9520374250322967,0.06291179136484695
0.08,1.33903949169401,0.46307238565644887,0.01041270069694363,1.781504156786085,1.8212547933265506,0.9519688916965621,0.06335903385548487
0.08,1.4420425295166264,0.4649415779546787,0.010538639607095399,1.78097027401456,1.8203893389863532,0.9519236534254703,0.06361282339737379
0.08,1.5450455673392425,0.46630642433420294,0.010593133940383208,1.780740774549604,1.820012579598512,0.9519038765770275,0.06366403965236811
0.08,1.6480486051618586,0.46568834545287374,0.010574934582506235,1.7808173202419804,1.8201385571458661,0.9519104948448356,0.06351084967494187
0.08,1.7510516429844747,0.4640684365478542,0.010484457096371013,1.7811993591370552,1.8207625838865726,0.9519431966591562,0.06315874345000404
0.08,1.8540546808070908,0.4619580382044546,0.010323791502640779,1.7818841016751532,1.8218613278903855,0.9520004293083937,0.0626204267577441
0.08,1.9570577186297071,0.45939850950952477,0.010096752761153554,1.7828664046530707,1.8233932518618392,0.9520794207123795,0.06191556519007148
0.08,2.060060756452323,0.45644848610089905,0.009808978371108532,1.7841385748087526,1.8252994482327343,0.9521762233713982,0.06107036547156037
