model,eta_numeric,D_loc,ep_mean,ep_stderr,gap_min,joint_max,overlap_min,eta_axis2
BBH,1.8666666666666667,0.3349919198939088,0.02288846804468706,0.0010415847966558187,0.024023730211911398,0.0196177335776031,0.9211988669347893,False
BBH,1.9333333333333331,0.4036138703302925,0.03269918724573763,0.0014890251849170593,0.023172203072570285,0.021782333382037198,0.9169893822526618,False
BBH,2.0,0.43204100348409286,0.0371643334086771,0.0016923166881874887,0.02747071736399964,0.02087760417755122,0.9065037855672706,False
BBH,,0.00819934919640252,1.4258079839232947e-05,6.517221133220867e-07,0.19418333879798477,0.0028561081663996232,0.9993281048034492,True
BHZ,-2.0,0.544384694410724,0.05905212146198473,0.002540093883296663,0.4268759788294326,0.011067683814949466,0.998114812828938,False
BHZ,-1.9333333333333333,0.5449375416539135,0.0591640545872789,0.00254478342502788,0.4268759788294326,0.011084532637063414,0.9982370571229677,False
BHZ,-1.8666666666666667,0.5454354267162881,0.05926473908354402,0.0025489194579625955,0.4268759788294326,0.011146127346241343,0.9983556383607618,False
BHZ,-1.8,0.5458653769274602,0.059351457712543146,0.0025524409656409374,0.4268759788294326,0.011195235456166651,0.998470932933315,False
BHZ,-1.7333333333333334,0.546217538787428,0.059422253912364956,0.002555298932959051,0.4268759788294326,0.011230931084502164,0.9985818617677107,False
BHZ,-1.6666666666666667,0.5464821487669426,0.059475166249539343,0.002557416019178038,0.4268759788294326,0.011252458397819534,0.9986876929043986,False
BHZ,-1.6,0.5466470476118347,0.059507657312108594,0.002558669882588813,0.4268759788294326,0.011266162168391896,0.9987898576493933,False
BHZ,-1.5333333333333332,0.5466973975518051,0.059516631280325936,0.0025589093120951313,0.4268759788294326,0.011327917665779329,0.9988575867247657,False
BHZ,-1.4666666666666668,0.3680639635965593,0.02842392164272281,0.0012226310877913925,0.4268759788294326,0.011371454226109816,0.9955062688967315,False
BHZ,-1.4,0.3671669337037626,0.028289441212859874,0.0012166352403223102,0.4268759788294326,0.011395797741173181,0.9966929951289717,False
BHZ,-1.3333333333333335,0.3665827803393195,0.02820160786313268,0.0012126901736451326,0.4268759788294326,0.011400258542903254,0.9976822239266271,False
BHZ,-1.2666666666666666,0.3662521082573673,0.028151877606782522,0.0012104575632083958,0.4268759788294326,0.011454240109813793,0.9985090224260192,False
BHZ,-1.2,0.36611802434367485,0.028132004572496,0.0012095804297362564,0.4268759788294326,0.011483819018784083,0.9991591829966159,False
BHZ,-1.1333333333333333,0.36612836308939606,0.028134279306770524,0.0012096866114354756,0.4268759788294326,0.011487803658507118,0.9993911936381901,False
BHZ,-1.0666666666666667,0.36623234029624485,0.028150995671890902,0.0012103811651846387,0.4268759788294326,0.011503309001472123,0.9994604821794126,False
BHZ,-1.0,0.36637618662104704,0.028173835362483836,0.001211256997114065,0.4268759788294322,0.011519317806667545,0.9995259035404087,False
BHZ,-0.9333333333333333,0.3665097968861571,0.028194978339359043,0.0012119816955837599,0.4268759788294326,0.011503309001472067,0.9995258728881306,False
BHZ,-0.8666666666666667,0.36661182095918643,0.028210980704411675,0.0012124727021156562,0.4268759788294326,0.01148922297964839,0.9995258412340681,False
BHZ,-0.8,0.3666694677313628,0.028219891014136893,0.0012127405695841688,0.4268759788294326,0.011466905798047738,0.9995257948605516,False
BHZ,-0.7333333333333334,0.3666706007794246,0.02822001992630764,0.0012127868179732386,0.4268759788294326,0.011407066834750998,0.9995257286533519,False
BHZ,-0.6666666666666667,0.3666023673164989,0.028209591821712284,0.001212552640679578,0.4268759788294326,0.01135203099210049,0.9994148029124568,False
BHZ,-0.6000000000000001,0.3664505521846633,0.028186531103206815,0.0012118979759846086,0.4268759788294326,0.01126616216839181,0.999159182996616,False
BHZ,-0.5333333333333334,0.3662005258282728,0.02814859759544501,0.001210622264442284,0.4268759788294326,0.011146127346241354,0.9988575867247654,False
BHZ,-0.4666666666666668,0.18653926767978052,0.007534585975943026,0.0003246362447716486,0.4268759788294326,0.011022628871037476,0.9955062688967315,False
BHZ,-0.3999999999999999,0.1853781047569574,0.007440187248747777,0.00032052838715260993,0.4268759788294326,0.010863739716821377,0.9966929951289719,False
BHZ,-0.33333333333333326,0.18455246528120955,0.007373260931375087,0.0003175037698939307,0.4268759788294326,0.010679150868987625,0.9976822239266271,False
BHZ,-0.2666666666666666,0.18399993349190377,0.007328921500995118,0.0003153892334975373,0.4268759788294326,0.010491163364266793,0.9985090224260192,False
BHZ,-0.19999999999999996,0.18366005320950807,0.007302441895271438,0.00031402999921252583,0.4268759788294326,0.010298479381162896,0.9991591829966159,False
BHZ,-0.1333333333333333,0.18347888461690642,0.007289510682824485,0.0003132826350452005,0.4268759788294326,0.010114773288042798,0.9995256844126638,False
BHZ,-0.06666666666666665,0.1834067138660224,0.007285988175907214,0.00031298725592315303,0.4268759788294326,0.009956495479804876,0.9995258137991149,False
BHZ,0.0,0.18339304705682502,0.007287479191500411,0.00031294253553715203,0.4268759788294326,0.009837650319742342,0.9995259614819261,False
BHZ,0.06666666666666643,0.18339091429310522,0.007289718448462783,0.0003129375001966183,0.4268759788294326,0.010109356856662945,0.999525955046365,False
BHZ,0.1333333333333333,0.1833795200940367,0.007290512447649293,0.00031286406710790603,0.4268759788294326,0.010538564951846565,0.9995259471076605,False
BHZ,0.20000000000000018,0.1833437149599913,0.007288311609401637,0.00031267179545878303,0.4268759788294326,0.011012919069015123,0.9995259376666404,False
BHZ,0.2666666666666666,0.1832680449573,0.007281818350666739,0.00031234235164997114,0.4268759788294326,0.011377269453096998,0.9995258983372157,False
BHZ,0.3333333333333335,0.18313747617918658,0.007269986094557258,0.00031187035638992957,0.4268759788294326,0.011519317806667605,0.9994148029124572,False
BHZ,0.3999999999999999,0.1829380013594223,0.007251951448713546,0.00031124615162477556,0.4268759788294326,0.011377269453097166,0.999159182996616,False
BHZ,0.4666666666666668,0.1826588041206689,0.007227106480853058,0.0003104531957150325,0.4268759788294326,0.010979527675974331,0.9988575867247657,False
BHZ,0.5333333333333332,0.003164755521751015,2.1262087414935724e-06,1.1470250284427616e-07,0.4268759788294326,0.01041717568984164,0.9955062688967315,False
BHZ,0.6000000000000001,0.0035987177322449396,2.7557547575929146e-06,1.3194859538434144e-07,0.4268759788294326,0.010149896738261133,0.9966929951289719,False
BHZ,0.6666666666666665,0.005359351920949804,6.239360494377302e-06,2.6254272461804696e-07,0.4268759788294326,0.01021739043476404,0.9976822239266271,False
BHZ,0.7333333333333334,0.007430167573138752,1.2119620073238087e-05,4.96617612455947e-07,0.4268759788294326,0.010241913020037878,0.9985090224260192,False
BHZ,0.7999999999999998,0.009325017353322203,1.9192109708615363e-05,7.815942598864475e-07,0.4268759788294326,0.010290695692450712,0.9991591829966161,False
BHZ,0.8666666666666667,0.010804611762056129,2.5834176457040572e-05,1.0509305084959963e-06,0.4268759788294326,0.010304596288740784,0.9995256191713691,False
BHZ,0.9333333333333331,0.011736410996921845,3.050394880527857e-05,1.242268766588766e-06,0.4268759788294326,0.01031571466934373,0.9995256041943246,False
BHZ,1.0,0.01205103951134747,3.213819679932653e-05,1.3113279896348917e-06,0.4268759788294322,0.010328485956983982,0.9995257194891832,False
BHZ,1.0666666666666664,0.011730163568238854,3.0404923639241414e-05,1.2429532672582608e-06,0.4268759788294326,0.010315714669343607,0.9994603555531478,False
BHZ,1.1333333333333333,0.010809992940100335,2.5784754077860968e-05,1.0559923788268827e-06,0.4268759788294326,0.010303000082105454,0.9993909313173346,False
BHZ,1.2000000000000002,0.009384246623498597,1.942026471866195e-05,7.971806795397724e-07,0.4268759788294326,0.010302521207926275,0.9993174222209816,False
BHZ,1.2666666666666666,0.007598330007808605,1.2745471623167373e-05,5.256597061046974e-07,0.4268759788294326,0.010280102964753651,0.9992395649447211,False
BHZ,1.3333333333333335,0.005642485829585856,7.053641077689552e-06,2.948451001326202e-07,0.4268759788294326,0.010236171663660377,0.9991585260071444,False
BHZ,1.4,0.0037614591013122585,3.1546651169732202e-06,1.3698165795841855e-07,0.4268759788294326,0.010535091241126178,0.9990723930577382,False
